PART_ID;PART_DESCRIPTION;Acting;Additional Feature;Application;Blow Characteristic;Body Breadth (mm);Body Height (mm);Body Length or Diameter (mm);Current Rating;Fuse Material;Fuse Size;JESD-609 Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A622;;;RATED BREAKING CAPACITY AT 32 VDC: 35 A;;VERY FAST;0.81mm;0.31mm;1.6mm;;;;e0;0.198J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;;35A;3A;;32V;32V
A623;Fuse Chip Very Fast Acting 3A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 3A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;3A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.198J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;3A;;32V;32V
A624;Fuse Chip Very Fast Acting 3A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;3A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A625;;;RATED BREAKING CAPACITY AT 32 VDC: 35 A;;VERY FAST;0.81mm;0.31mm;1.6mm;;;;e0;0.352J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;;35A;4A;;32V;32V
A626;Fuse Chip Very Fast Acting 4A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 4A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;4A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.352J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;4A;;32V;32V
A627;Fuse Chip Very Fast Acting 4A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;4A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A628;;;RATED BREAKING CAPACITY AT 32 VDC: 35 A;;VERY FAST;0.81mm;0.31mm;1.6mm;;;;e0;1.297J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;;35A;5A;;32V;32V
A629;Fuse Chip Very Fast Acting 5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 5A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;5A;Epoxy;1.6 X 0.81 X 0.31mm;e3;1.297J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;5A;;32V;32V
A630;Fuse Chip Very Fast Acting 5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;5A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A631;Fuse Chip Very Fast Acting 1.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 1.5A, 32VAC, 32VDC, 35A (IR), Supplemental, Surface Mount, 0603;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;1.5A;Epoxy;603;e0;0.0526J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;1.5A;32V;32V;32V
A632;Fuse Chip Very Fast Acting 1.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;1.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A633;;;RATED BREAKING CAPACITY AT 32 VDC: 35 A;;VERY FAST;0.813mm;0.305mm;1.6mm;;;;e0;0.175J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.813mm  x  0.305mm;;;;35A;2.5A;;32V;32V
A634;Fuse Chip Very Fast Acting 2.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 2.5A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;2.5A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.175J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;2.5A;;32V;32V
A635;Fuse Chip Very Fast Acting 2.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;2.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A636;Fuse Chip Very Fast Acting 3.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 3.5A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;3.5A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.265J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;3.5A;;32V;32V
A637;Fuse Chip Very Fast Acting 3.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;3.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A638;;;RATED BREAKING CAPACITY AT 32 VDC: 35 A;;VERY FAST;0.813mm;0.305mm;1.6mm;;;;e0;0.032J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.813mm  x  0.305mm;;;;35A;1.25A;;32V;32V
A639;Fuse Chip Very Fast Acting 1.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 1.25A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;1.25A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.032J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;1.25A;;32V;32V
A640;Fuse Chip Very Fast Acting 1.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;1.25A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A641;Fuse Chip Very Fast Acting 1.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 1.75A, 32VAC, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;1.75A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.0661J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;35A;1.75A;;32V;32V
A642;Fuse Chip Very Fast Acting 1.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;1.75A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A643;;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.25A;Epoxy;1.6 X 0.81 X 0.31mm;;;;32V;32V;;;;;;;;;;;;;;;
A644;Fuse Chip Very Fast Acting 0.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Fuse, Very Fast Blow, 0.25A, 32VAC, 32VDC, 50A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 50 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;0.25A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.003J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;50A;0.25A;;32V;32V
A645;Fuse Chip Very Fast Acting 0.25A 32V SMD Solder Pad 0603 Epoxy T/R CSA ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.25A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A646;;;RATED BREAKING CAPACITY AT 32 VDC: 50 A;;VERY FAST;0.813mm;0.305mm;1.6mm;;;;e0;0.0053J;High;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.6mm  x  0.813mm  x  0.305mm;;;;50A;0.375A;;32V;32V
A647;Fuse Chip Very Fast Acting 0.375A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 0.375A, 32VAC, 32VDC, 50A (IR), Supplemental, Surface Mount, 0603;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 50 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;0.375A;Epoxy;603;e0;0.0053J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;50A;0.375A;32V;32V;32V
A648;Fuse Chip Very Fast Acting 0.375A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.375A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A649;;Very Fast;;Height Critical Applications;;;;;0.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;;32V;;;;;;;;;;;;;;;;
A650;;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;;32V;32V;;;;;;;;;;;;;;;
A651;Fuse Chip Very Fast Acting 0.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Fuse, Very Fast Blow, 0.5A, 32VAC, 32VDC, 50A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 50 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;0.5A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.0087J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;50A;0.5A;;32V;32V
A652;Fuse Chip Very Fast Acting 0.5A 32V SMD Solder Pad 0603 Epoxy T/R CSA ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.5A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A653;Fuse Chip Very Fast Acting 0.68A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL Electric Fuse, Very Fast Blow, 0.68A, 32VAC, 32VDC, 50A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 50 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;0.68A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.0109J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;50A;0.68A;;32V;32V
A654;Fuse Chip Very Fast Acting 0.68A 32V SMD Solder Pad 0603 Epoxy T/R CSA/UL ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.68A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A655;;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.75A;Epoxy;1.6 X 0.81 X 0.31mm;;;;32V;32V;;;;;;;;;;;;;;;
A656;Fuse Chip Very Fast Acting 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA Electric Fuse, Very Fast Blow, 0.75A, 32VAC, 32VDC, 50A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 50 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.81mm;0.31mm;1.6mm;0.75A;Epoxy;1.6 X 0.81 X 0.31mm;e3;0.0171J;High;32V;32V;;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.6mm  x  0.81mm  x  0.31mm;;;1.6mm;50A;0.75A;;32V;32V
A657;Fuse Chip Very Fast Acting 0.75A 32V SMD Solder Pad 0603 Epoxy T/R CSA ;Very Fast;;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;;;;;0.75A;Epoxy;1.6 X 0.81 X 0.31mm;;;High;32V;32V;;Surface Mount;;2;;;;;;1.6mm;;;;;
A658;Fuse Chip Very Fast Acting 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, 0402;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;1A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.02J;Low;;32V;0.08745W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;35A;1A;32V;;32V
A659;Fuse Chip Very Fast Acting 1A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 1A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0200;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;1A;Epoxy Glass;NANO;e3;0.02J;Low;;32V;0.08745W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;1A;32V;;32V
A660;;;RATED BREAKING CAPACITY AT 24 VDC: 35 A;;VERY FAST;0.51mm;0.3mm;1.04mm;;;;;0.1J;Low;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.04mm  x  0.51mm  x  0.3mm;;;;35A;2A;;;24V
A661;Fuse Chip Very Fast Acting 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;2A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.1J;Low;;32V;0.1412W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;35A;2A;;;32V
A662;Fuse Chip Very Fast Acting 2A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 2A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1000;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;2A;Epoxy Glass;NANO;e3;0.1J;Low;;32V;0.1412W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;2A;32V;;32V
A663;Fuse Chip Very Fast Acting 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 3A, 32VDC, Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;3A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.2032J;Low;;32V;0.1874W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;;3A;;;32V
A664;Fuse Chip Very Fast Acting 3A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 3A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.2032;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;3A;Epoxy Glass;NANO;e3;0.2032J;Low;;32V;0.1874W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;3A;32V;;32V
A665;Fuse Chip Very Fast Acting 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 4A, 32VDC, Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;4A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.3084J;Low;;32V;0.228W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;;4A;;;32V
A666;Fuse Chip Very Fast Acting 4A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 4A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3084;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;4A;Epoxy Glass;NANO;e3;0.3084J;Low;;32V;0.228W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;4A;32V;;32V
A667;Fuse Chip Very Fast Acting 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 5A, 32VDC, Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;5A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.531J;Low;;32V;0.2622W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;;5A;;;32V
A668;Fuse Chip Very Fast Acting 5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 5A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.5310;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;5A;Epoxy Glass;NANO;e3;0.531J;Low;;32V;0.2622W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;5A;32V;;32V
A669;;;RATED BREAKING CAPACITY AT 24 VDC: 35 A;;VERY FAST;0.51mm;0.3mm;1.04mm;;;;;0.056J;Low;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.04mm  x  0.51mm  x  0.3mm;;;;35A;1.5A;;;24V
A670;Fuse Chip Very Fast Acting 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;1.5A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.056J;Low;;32V;0.13005W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;35A;1.5A;;;32V
A671;Fuse Chip Very Fast Acting 1.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 1.5A, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.0560;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;1.5A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.056J;Low;;32V;0.13005W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;1.5A;;;32V
A672;Fuse Chip Very Fast Acting 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 2.5A, 32VDC, Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;2.5A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.156J;Low;;32V;0.13813W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;;2.5A;;;32V
A673;Fuse Chip Very Fast Acting 2.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 2.5A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.1560;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;2.5A;Epoxy Glass;NANO;e3;0.156J;Low;;32V;0.13813W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;2.5A;32V;;32V
A674;Fuse Chip Very Fast Acting 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 3.5A, 32VDC, Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;3.5A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.3017J;Low;;32V;0.20244W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;;3.5A;;;32V
A675;Fuse Chip Very Fast Acting 3.5A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Very Fast Blow, 3.5A, 32VDC, 35A (IR), Surface Mount, NANO;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A, JOULE-INTEGRAL-NOM AT 32 VDC: 0.3017;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;VERY FAST;0.56mm;0.38mm;1.04mm;3.5A;Epoxy Glass;NANO;e3;0.3017J;Low;;32V;0.20244W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;1.04mm  x  0.56mm  x  0.38mm;;;1.04(Max)mm;35A;3.5A;32V;;32V
A676;;;RATED BREAKING CAPACITY AT 24 VDC: 35 A;;VERY FAST;0.51mm;0.3mm;1.04mm;;;;;0.035J;Low;;;;;SURFACE MOUNT;;90Cel;-55Cel;1.04mm  x  0.51mm  x  0.3mm;;;;35A;1.25A;;;24V
A677;Fuse Chip Very Fast Acting 1.25A 32V SMD Solder Pad 0402 Epoxy Glass T/R CSA Electric Fuse, Fast Blow, 1.25A, 32VDC, 35A (IR), Surface Mount;Very Fast;RATED BREAKING CAPACITY AT 32 VDC: 35 A;Battery Pack|Cell Phone|Digital Camera|DVD Player|Hard Disk Drive;FAST;0.51mm;0.3mm;0.99mm;1.25A;Epoxy Glass;1.04 X 0.56 X 0.38mm;e3;0.035J;Low;;32V;0.12046W;Surface Mount;SURFACE MOUNT;2;90Cel;-55Cel;0.99mm  x  0.51mm  x  0.3mm;;;1.04(Max)mm;35A;1.25A;;;32V
